ano,link,paragrafos_resgatados
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u3019.shtml,"['Folha Online - Ciência - Cientistas alemães descobrem gene da esquizofrenia - 20/03/2001 19h32', 'Um gene responsável pela esquizofrenia catatônica, uma das quatro formas da doença, foi identificado pela primeira vez por um grupo de cientistas alemães', 'Levando em conta todas suas formas, a esquizofrenia afeta cerca de um por cento da população.', 'Os profissionais alemães descobriram uma mutação genética no cromossomo 22 de uma numerosa família cujo nome não foi revelado. Encontraram a anomalia em sete pessoas desta família, já afetadas de esquizofrenia.', 'A esquizofrenia catatônica se caracteriza pela ruptura do contato com a realidade, delírio e introspecção. As pesquisas foram realizadas no cromossomo 22, no qual estudos anteriores já haviam localizado anomalias genética.', 'A origem genética da esquizofrenia foi confirmada pela primeira vez há pouco mais de dois anos, depois de uma ampla pesquisa estatística realizada pelo Instituto John Hopkins, dos EUA.', 'De qualquer forma, Ann Pulver, principal responsável pelo estudo que envolveu durante 15 anos mil pessoas de mais de 100 famílias, estimava que genes localizados nos cromossomos 8 e 22 poderiam estar envolvidos na esquizofrenia.']"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe2103200105.htm,"['Folha de S.Paulo - Genética: Alemães encontram gene ligado à esquizofrenia - 21/03/2001', 'Um gene relacionado com uma forma de esquizofrenia hereditária foi identificado por uma equipe da universidade alemã de Würzburg. O gene, batizado de WKL1, foi localizado no cromossomo 22.']"
2001,http://www1.folha.uol.com.br/fsp/mais/fs2503200110.htm,"['Muito antes de sermos informados de que não havia genes em número suficiente para sustentar a visão determinista da genética, muitos cientistas haviam concluído que não existiam explicações simplistas para doenças baseadas em genes, porque as ações de cada gene são afetadas e modificadas por diversos outros genes. A conexão entre genes e doenças se torna ainda mais tênue quando se trata de coisas como câncer, moléstias cardíacas, diabetes, esquizofrenia, inteligência, abuso de álcool e comportamento criminoso, para as quais os fatores ambientais e sociais cada vez mais parecem preponderantes.']"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq2903200109.htm,"['Gravados em meados dos anos 80, os depoimentos da doméstica -internada sob diagnóstico de esquizofrenia e personalidade psicopática- foram adaptados para o palco no monólogo ""Stella do Patrocínio"", de Rio Branco (AC), que estréia hoje na programação do Fringe, a mostra paralela do Festival de Teatro de Curitiba, que vai até domingo.']"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u12179.shtml,"['Gravados em meados dos anos 80, os depoimentos da doméstica -internada sob diagnóstico de esquizofrenia e personalidade psicopática- foram adaptados para o palco no monólogo ""Stella do Patrocínio"", de Rio Branco (AC), que estréia hoje na programação do Fringe, a mostra paralela do Festival de Teatro de Curitiba, que vai até domingo.']"
2001,http://www1.folha.uol.com.br/fsp/brasil/fc0204200112.htm,"['O fracasso da negociação comercial entre o Brasil e os EUA revela a ""esquizofrenia"" que assola a política comercial do governo do republicano George W. Bush.']"
2001,http://www1.folha.uol.com.br/folha/brasil/ult96u17908.shtml,[]
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq0704200102.htm,"['Instituída pela Organização Mundial da Saúde em 1948, a data será lembrada pelo canal com dois episódios da série ""O Diário da Saúde"", que vão ao ar às 20h. Eles abordam doenças que atacam o sistema nervoso, como a esquizofrenia e o mal de Alzheimer.']"
2001,http://www1.folha.uol.com.br/fsp/mais/fs0804200111.htm,"['""Ler o Delírio"", que acaba de sair na França, faz um estudo contundente sobre o tratamento da esquizofrenia no século 19, que opôs escritores como Balzac aos médicos alienistas', 'Apenas os escritores demonstraram ousadia suficiente para sair vitoriosos desse temível combate que a ciência travava consigo mesma. E é a Balzac (1799-1850), mais que a Esquirol, que cabe o mérito de ter descrito, em ""Louis Lambert"", o mais belo caso de loucura jamais imaginado pelos médicos. Não contente em lhe dar uma aula de ciência, utilizando suas descobertas e seu estilo, o escritor soube construir seu romance ao mesmo tempo como autobiografia iniciática e como descrição clínica. Compreende-se, assim, por que, no século 20, num brilhante comentário sobre esse texto admirável, alguns psiquiatras tenham dado razão ao homem de letras em desfavor ao alienista. Eles fizeram de Balzac, antes de Eugen Bleuler, o criador da primeira descrição prática e teórica de um caso de esquizofrenia.']"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u3264.shtml,"['Folha Online - Ciência - Vírus pode agravar esquizofrenia, dizem pesquisadores - 10/04/2001 19h21', 'Um grupo de cientistas revelou hoje ter encontrado trechos do código genético de algum tipo de vírus em partes do sistema nervoso de esquizofrênicos.', 'Uma equipe da Faculdade de Medicina Johns Hopkins, liderada pelo médico Robert Yolken, examinou um grupo de 35 alemães portadores de esquizofrenia.', 'As ""pistas moleculares"" de um retrovírus foram encontradas no liquor (líquido cérebro-espinal) de 29% dos pacientes com ocorrência aguda da doença. Entre os pacientes com a forma crônica da esquizofrenia, a incidência dos genes foi menor, de 7%.', '""Até agora, ainda não sabemos se o vírus é a causa da esquizofrenia em algumas pessoas ou se ele é ativado durante o processo"", disse Yolken.', 'A esquizofrenia ocorre hoje com maior ou menor intensidade em cerca de 1% da população. As vítimas do mal perdem o contato com a realidade, sofrem alucinações e têm comportamento estranho.']"
